Model,Mean Error,Anomaly Percentage,Anomaly Threshold
Linear_TestNumber106_Completeness1_SequenceLength864_Horizon1_WindowSize1.pt,0.5038513499642163,0.0,2.4
Linear_TestNumber113_Completeness1_SequenceLength864_Horizon3_WindowSize1.pt,0.9721885526687568,0.0,4.2
Linear_TestNumber120_Completeness1_SequenceLength864_Horizon6_WindowSize1.pt,1.834997577823454,0.0,8.1
Linear_TestNumber127_Completeness1_SequenceLength864_Horizon12_WindowSize1.pt,3.1132300443247156,0.0,13.5
Linear_TestNumber134_Completeness1_SequenceLength864_Horizon24_WindowSize1.pt,2.031145020307787,0.0,9.0
Linear_TestNumber141_Completeness0.98_SequenceLength694_Horizon1_WindowSize1.pt,1.3402040708807164,0.0,4.8
Linear_TestNumber148_Completeness0.98_SequenceLength694_Horizon3_WindowSize1.pt,2.199750587362056,0.0,7.8
Linear_TestNumber155_Completeness0.98_SequenceLength694_Horizon6_WindowSize1.pt,2.6704031861016864,0.0,9.7
Linear_TestNumber15_Completeness1_SequenceLength216_Horizon6_WindowSize1.pt,2.475500123936619,0.0,10.9
Linear_TestNumber162_Completeness0.98_SequenceLength694_Horizon12_WindowSize1.pt,2.9737394885274986,0.0,10.7
Linear_TestNumber169_Completeness0.98_SequenceLength694_Horizon24_WindowSize1.pt,2.688148932327762,0.0,9.8
Linear_TestNumber176_Completeness0.98_SequenceLength1388_Horizon1_WindowSize1.pt,0.9426683245789043,0.0,3.8
Linear_TestNumber183_Completeness0.98_SequenceLength1388_Horizon3_WindowSize1.pt,1.902460259253504,0.0,6.7
Linear_TestNumber190_Completeness0.98_SequenceLength1388_Horizon6_WindowSize1.pt,2.5758217978160323,0.0,9.1
Linear_TestNumber197_Completeness0.98_SequenceLength1388_Horizon12_WindowSize1.pt,3.081757872795265,0.0,11.1
Linear_TestNumber1_Completeness1_SequenceLength216_Horizon1_WindowSize1.pt,0.5309576595266872,0.0,2.6
Linear_TestNumber204_Completeness0.98_SequenceLength1388_Horizon24_WindowSize1.pt,2.5643319854310547,0.0,9.3
Linear_TestNumber211_Completeness0.98_SequenceLength2082_Horizon1_WindowSize1.pt,0.9179719136989775,0.0,3.5
Linear_TestNumber218_Completeness0.98_SequenceLength2082_Horizon3_WindowSize1.pt,2.2174721167942915,0.0,7.8
Linear_TestNumber225_Completeness0.98_SequenceLength2082_Horizon6_WindowSize1.pt,2.76782814661251,0.0,10.1
Linear_TestNumber22_Completeness1_SequenceLength216_Horizon12_WindowSize1.pt,3.0074583251786278,0.0,13.0
Linear_TestNumber232_Completeness0.98_SequenceLength2082_Horizon12_WindowSize1.pt,3.0961422073118148,0.0,11.2
Linear_TestNumber239_Completeness0.98_SequenceLength2082_Horizon24_WindowSize1.pt,2.574074182740152,0.0,9.3
Linear_TestNumber246_Completeness0.98_SequenceLength2776_Horizon1_WindowSize1.pt,1.2939606397003198,0.0,4.6
Linear_TestNumber253_Completeness0.98_SequenceLength2776_Horizon3_WindowSize1.pt,1.8711440425066121,0.0,6.7
Linear_TestNumber260_Completeness0.98_SequenceLength2776_Horizon6_WindowSize1.pt,2.3345322279813576,0.0,8.4
Linear_TestNumber267_Completeness0.98_SequenceLength2776_Horizon12_WindowSize1.pt,3.0329016056206437,0.0,10.7
Linear_TestNumber274_Completeness0.98_SequenceLength2776_Horizon24_WindowSize1.pt,2.540743822605947,0.0,9.2
Linear_TestNumber281_Completeness0.98_SequenceLength3470_Horizon1_WindowSize1.pt,1.1878596368785435,0.0,4.5
Linear_TestNumber288_Completeness0.98_SequenceLength3470_Horizon3_WindowSize1.pt,2.30691354494587,0.0,8.5
Linear_TestNumber295_Completeness0.98_SequenceLength3470_Horizon6_WindowSize1.pt,2.242223113256892,0.0,8.0
