1.0,216,1,1,"[[ 0.80397296  0.25025678 -0.07063581 -0.01026256 -0.10708435 -0.00911448
   0.03765849  0.13019218 -0.63079554 -0.19674912  0.31221297]]",216,1
1.0,216,3,1,"[[ 0.5351949   0.15500763  0.1473276   0.00341857 -0.25725704 -0.04514641
   0.08173956  0.11814512 -1.83268     0.30866757 -0.14125851]]",216,8
1.0,216,6,1,"[[ 0.02891887  0.00616688  0.15814644 -0.00746646 -0.51019514 -0.09487811
   0.13665138  0.162685   -4.078457    0.3175789   0.08016153]]",216,15
1.0,216,12,1,"[[-0.28887248 -0.11109906 -0.18242347  0.12296012 -0.613384   -0.17192884
   0.07557672 -0.20665994 -5.2381253   0.09696779  0.03838132]]",216,22
1.0,216,24,1,"[[ 0.08161407  0.01870617  0.18405291  0.49818724 -0.12289707 -0.07420509
  -0.17503045  0.06686836 -2.1344519   0.11075208  0.08950723]]",216,29
1.0,432,1,1,"[[ 0.79656774 -0.05156197 -0.28135934 -0.01296301 -0.10976897 -0.01011884
   0.03870596  0.08775124 -0.83765274 -0.06807277  0.27151975]]",432,36
1.0,432,3,1,"[[ 0.5328397  -0.08740158 -0.06404017  0.00255153 -0.25819722 -0.04540441
   0.08202835  0.08424865 -1.7336675  -0.22120585  0.10181667]]",432,43
1.0,432,6,1,"[[ 0.06772843  0.29337072  0.12284565  0.01019919 -0.4971459  -0.08835633
   0.13359196 -0.28172505 -3.0531993   0.13249643  0.1280303 ]]",432,50
1.0,432,12,1,"[[-0.2816428   0.22279233 -0.07030053  0.12699161 -0.61104    -0.17076005
   0.07555555  0.07314076 -4.9821987  -0.08311015  0.24846745]]",432,57
1.0,432,24,1,"[[ 0.035099   -0.20031029  0.24942315  0.4669641  -0.14385535 -0.07455959
  -0.1757296   0.02175162 -3.3482885  -0.0352687   0.13220446]]",432,64
1.0,648,1,1,"[[ 0.794501   -0.20418355  0.24426466 -0.01379509 -0.11039858 -0.01050035
   0.03898618  0.12966633 -0.96300155  0.09644078 -0.02340145]]",648,71
1.0,648,3,1,"[[ 5.2315903e-01  2.8216463e-01 -2.0568180e-01 -1.3944753e-03
  -2.6158497e-01 -4.6877880e-02  8.3113581e-02  2.4016020e-01
  -1.9877323e+00 -7.3766768e-02  2.8070197e-01]]",648,78
1.0,648,6,1,"[[ 0.06154255 -0.02658078  0.05115461  0.00763917 -0.4995026  -0.08915205
   0.13416937 -0.13313168 -3.1637866   0.02163264  0.09971917]]",648,85
1.0,648,12,1,"[[-0.2883399  -0.10567106  0.19286874  0.12354653 -0.61344427 -0.17165242
   0.07571834 -0.16072896 -5.216829    0.18928349  0.11260857]]",648,92
1.0,648,24,1,"[[ 0.04920064 -0.2428692   0.22325021  0.4758318  -0.13731912 -0.07454311
  -0.17580622 -0.11176559 -3.070803    0.26030853  0.16714817]]",648,99
1.0,864,1,1,"[[ 0.7935796  -0.16700232 -0.27034283 -0.01408543 -0.11080284 -0.01056605
   0.0391232  -0.26593146 -0.90435195 -0.17798735  0.04072316]]",864,106
1.0,864,3,1,"[[ 0.54188824  0.10749391 -0.21916747  0.00606427 -0.25481182 -0.04421844
   0.08096719 -0.2684434  -1.5700676  -0.06320844  0.04670698]]",864,113
1.0,864,6,1,"[[ 4.8862215e-02 -1.5422244e-01 -2.8939730e-01  1.4933608e-03
  -5.0336260e-01 -9.1631919e-02  1.3504212e-01  5.2985009e-02
  -3.4482560e+00 -1.8082181e-01  3.3940637e-01]]",864,120
1.0,864,12,1,"[[-0.28899547 -0.06651984 -0.27113     0.12287334 -0.6134079  -0.17196356
   0.07556792 -0.08217729 -5.2409816   0.23008078  0.39567453]]",864,127
